           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]       [,7]
 [1,]  95.99620 -13.11561 -40.16759  17.54536 -16.85312 -12.41955   29.34758
 [2,] -13.11561 190.02058 -23.56205 -49.59336  32.14825  -6.60852  -23.41473
 [3,] -40.16759 -23.56205  76.12569 -40.18136  12.67222 -14.75910   13.92621
 [4,]  17.54536 -49.59336 -40.18136 106.47489 -26.45079  12.72740   -4.01894
 [5,] -16.85312  32.14825  12.67222 -26.45079  48.64877 -13.41383  -39.27470
 [6,] -12.41955  -6.60852 -14.75910  12.72740 -13.41383  83.78982   21.84675
 [7,]  29.34758 -23.41473  13.92621  -4.01894 -39.27470  21.84675  238.88504
 [8,] -31.01545 -62.37805   7.39166   3.44352 -14.22568 -17.76751  -36.46817
 [9,]   5.58026 -23.30727  17.06711 -16.35610  -8.11938  -9.71123   53.11115
[10,] -40.02559 -29.72947   4.26564   9.17749  37.66869 -43.68651 -229.47747
[11,]  -2.55500 -31.16615  17.40376   3.86820 -16.37050 -12.63942   31.70643
[12,]  17.31533   1.45203 -18.57367  -3.55269  -6.95826  18.99757   12.80292
           [,8]      [,9]      [,10]    [,11]     [,12]
 [1,] -31.01545   5.58026  -40.02559  -2.5550  17.31533
 [2,] -62.37805 -23.30727  -29.72947 -31.1662   1.45203
 [3,]   7.39166  17.06711    4.26564  17.4038 -18.57367
 [4,]   3.44352 -16.35610    9.17749   3.8682  -3.55269
 [5,] -14.22568  -8.11938   37.66869 -16.3705  -6.95826
 [6,] -17.76751  -9.71123  -43.68651 -12.6394  18.99757
 [7,] -36.46817  53.11115 -229.47747  31.7064  12.80292
 [8,] 115.03390  -7.05113   41.33179  14.6137  -5.44515
 [9,]  -7.05113  45.57463  -46.97598  17.4159  -8.28895
[10,]  41.33179 -46.97598  291.31530 -26.4239 -30.57462
[11,]  14.61373  17.41594  -26.42391  50.9171 -19.44740
[12,]  -5.44515  -8.28895  -30.57462 -19.4474  53.80133
