           [,1]      [,2]      [,3]      [,4]      [,5]       [,6]       [,7]
 [1,]  85.20588 -18.16566 -46.12289  34.64773 -15.41013 -12.103030   15.70362
 [2,] -18.16566 118.49383 -13.78810 -19.93523  19.36697 -13.699712    1.89113
 [3,] -46.12289 -13.78810 100.60572 -90.83369  36.08980 -31.086825   -8.47453
 [4,]  34.64773 -19.93523 -90.83369 160.75264 -59.18296  48.098454    7.08930
 [5,] -15.41013  19.36697  36.08980 -59.18296  71.60123 -35.418582  -28.95801
 [6,] -12.10303 -13.69971 -31.08682  48.09845 -35.41858 104.623466   30.60451
 [7,]  15.70362   1.89113  -8.47453   7.08930 -28.95801  30.604506  109.20541
 [8,] -16.53147 -25.59249   0.12457   3.07071 -19.40641  -0.662916  -12.15454
 [9,]  -2.78111 -14.64313  26.43700 -43.34030   4.76809 -20.160129   13.42112
[10,] -27.87618 -39.31265  39.06951 -41.50631  40.52008 -61.706115 -122.47082
[11,]  -0.17253 -20.15002  14.04576  -3.62431 -16.21611 -14.546565   19.14010
[12,]  11.61401   3.62029 -25.84877  23.19715 -12.24627  16.304860   15.39077
            [,8]       [,9]       [,10]     [,11]      [,12]
 [1,] -16.531466  -2.781106  -27.876178  -0.17253  11.614013
 [2,] -25.592486 -14.643125  -39.312645 -20.15002   3.620287
 [3,]   0.124570  26.437001   39.069512  14.04576 -25.848772
 [4,]   3.070709 -43.340301  -41.506307  -3.62431  23.197149
 [5,] -19.406408   4.768089   40.520081 -16.21611 -12.246268
 [6,]  -0.662916 -20.160129  -61.706115 -14.54657  16.304860
 [7,] -12.154541  13.421123 -122.470820  19.14010  15.390773
 [8,]  72.806262  -5.502766   -0.326392  17.95587   0.635387
 [9,]  -5.502766  50.269891    0.528064  15.49043 -19.893428
[10,]  -0.326392   0.528064  217.487729 -22.92570 -27.360394
[11,]  17.955868  15.490426  -22.925699  61.75375 -15.816161
[12,]   0.635387 -19.893428  -27.360394 -15.81616  43.577192
