"","x_2023"
"1",0.8912
"2",0.8996
"3",0.688
"4",0.6871
"5",0.7245
"6",0.8766
"7",0.7063
"8",0.8762
"9",0.7019
"10",0.8659
"11",0.6768
"12",0.6054
