           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]       [,7]
 [1,]  85.97809 -12.23784 -26.82191  -3.92353 -10.53997 -17.54176   24.95264
 [2,] -12.23784 169.89201 -32.71658 -26.03559  38.12725   9.56648  -34.79769
 [3,] -26.82191 -32.71658  55.65315  -9.97692   5.99881 -10.82631   19.62557
 [4,]  -3.92353 -26.03559  -9.97692  72.36700 -35.50368  -1.78631   -7.81862
 [5,] -10.53997  38.12725   5.99881 -35.50368  61.52543 -10.30408  -35.38024
 [6,] -17.54176   9.56648 -10.82631  -1.78631 -10.30408  87.08653    3.88172
 [7,]  24.95264 -34.79769  19.62557  -7.81862 -35.38024   3.88172  213.56435
 [8,] -24.24815 -63.14094  10.66009   3.15014 -16.77612 -24.21339  -12.92880
 [9,]   8.15121 -35.84425   4.37394  21.67808 -23.91732 -15.60291   42.48387
[10,] -26.52065 -11.20700  -7.64660   4.50238  32.43161 -24.40204 -191.41060
[11,]  -2.28223 -38.72687  21.04013  -1.41535 -16.74196 -16.10925   41.94648
[12,]  17.84457 -11.18922 -14.80322  -5.05286  -2.10871  23.07280   -1.92019
           [,8]      [,9]      [,10]     [,11]     [,12]
 [1,] -24.24815   8.15121  -26.52065  -2.28223  17.84457
 [2,] -63.14094 -35.84425  -11.20700 -38.72687 -11.18922
 [3,]  10.66009   4.37394   -7.64660  21.04013 -14.80322
 [4,]   3.15014  21.67808    4.50238  -1.41535  -5.05286
 [5,] -16.77612 -23.91732   32.43161 -16.74196  -2.10871
 [6,] -24.21339 -15.60291  -24.40204 -16.10925  23.07280
 [7,] -12.92880  42.48387 -191.41060  41.94648  -1.92019
 [8,] 105.80855   4.41377   16.96800  21.27280 -10.19689
 [9,]   4.41377  46.67667  -38.53471  20.89681 -15.87789
[10,]  16.96800 -38.53471  232.68801 -37.32735  -1.47898
[11,]  21.27280  20.89681  -37.32735  56.30377 -21.72065
[12,] -10.19689 -15.87789   -1.47898 -21.72065  63.77215
