"","x_2016"
"1",0.8574
"2",0.9367
"3",0.761
"4",0.7539
"5",0.6846
"6",0.8792
"7",0.8097
"8",0.8939
"9",0.7097
"10",0.8917
"11",0.5889
"12",0.6094
