           [,1]       [,2]      [,3]       [,4]       [,5]       [,6]      [,7]
 [1,] 115.04641 -49.546138 -53.52722  -2.370101   18.22243 -23.726291   8.29062
 [2,] -49.54614 172.464323 -24.86132   0.951206  -20.80655 -28.845643 -48.83515
 [3,] -53.52722 -24.861320  99.52868 -34.757113    8.56273  22.656402  29.26840
 [4,]  -2.37010   0.951206 -34.75711  90.409756   19.78835 -10.523970 -18.71972
 [5,]  18.22243 -20.806554   8.56273  19.788354  105.30517  -4.590881  32.58636
 [6,] -23.72629 -28.845643  22.65640 -10.523970   -4.59088  78.835185   3.14512
 [7,]   8.29062 -48.835149  29.26840 -18.719724   32.58636   3.145117  62.45259
 [8,] -20.10036 -35.960098   8.27533 -45.850926 -112.63389   0.455218 -17.72695
 [9,]  -3.35700 -46.695693  45.97499 -30.222363   37.43316  28.678371  40.73351
[10,]   8.80712  16.137706 -39.91186  31.206565   -1.12438  -3.886725 -29.77626
[11,]  21.36273   9.405261 -65.17670  27.430755  -23.11433 -29.321281 -41.84794
[12,]  -4.95326  18.871428  10.32105 -18.080761  -19.92810 -15.851440  -3.33098
             [,8]     [,9]     [,10]     [,11]     [,12]
 [1,]  -20.100360  -3.3570   8.80712  21.36273  -4.95326
 [2,]  -35.960098 -46.6957  16.13771   9.40526  18.87143
 [3,]    8.275328  45.9750 -39.91186 -65.17670  10.32105
 [4,]  -45.850926 -30.2224  31.20656  27.43076 -18.08076
 [5,] -112.633886  37.4332  -1.12438 -23.11433 -19.92810
 [6,]    0.455218  28.6784  -3.88672 -29.32128 -15.85144
 [7,]  -17.726955  40.7335 -29.77626 -41.84794  -3.33098
 [8,]  200.310367 -33.0890 -13.88507  14.62302  18.75526
 [9,]  -33.089038  92.4437 -34.08723 -44.02974 -14.15593
[10,]  -13.885070 -34.0872  49.73005  35.41380 -11.29991
[11,]   14.623023 -44.0297  35.41380 112.31033 -19.65211
[12,]   18.755257 -14.1559 -11.29991 -19.65211  51.07343
