"","x_2017"
"1",0.8696
"2",0.95
"3",0.7745
"4",0.7505
"5",0.652
"6",0.8958
"7",0.7929
"8",0.9005
"9",0.7272
"10",0.884
"11",0.5779
"12",0.6137
