"","x_2020"
"1",0.885
"2",0.9332
"3",0.7858
"4",0.8274
"5",0.7269
"6",0.8627
"7",0.716
"8",0.8509
"9",0.7786
"10",0.8972
"11",0.539
"12",0.5434
