"","x_2019"
"1",0.8666
"2",0.9326
"3",0.7871
"4",0.8511
"5",0.7488
"6",0.8813
"7",0.7078
"8",0.8532
"9",0.7664
"10",0.8986
"11",0.5189
"12",0.5661
