"","x_2022"
"1",0.8795
"2",0.9044
"3",0.6879
"4",0.84
"5",0.7046
"6",0.8948
"7",0.7865
"8",0.8884
"9",0.5795
"10",0.5765
"11",0.774
"12",0.7979
