           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]       [,7]
 [1,]  95.53035  -6.71852 -32.36462 -10.23161 -13.04762 -23.00887   28.68472
 [2,]  -6.71852 200.66697 -33.59525 -37.76217  30.27695  -4.03939  -39.54075
 [3,] -32.36462 -33.59525  62.81046  -6.55405   8.49040 -14.91118   24.21807
 [4,] -10.23161 -37.76217  -6.55405  63.50202 -14.13680   9.52045  -15.20340
 [5,] -13.04762  30.27695   8.49040 -14.13680  44.79785 -16.12084  -31.96476
 [6,] -23.00887  -4.03939 -14.91118   9.52045 -16.12084  98.89151   -2.48327
 [7,]  28.68472 -39.54075  24.21807 -15.20340 -31.96476  -2.48327  231.19667
 [8,] -16.41590 -68.27448  10.38023  -6.88061 -12.41336 -24.69055   -5.57070
 [9,]   7.67981 -35.95198  10.92022   1.74671  -9.78614 -10.47324   50.93222
[10,] -40.36410 -12.06123 -11.27939  32.69116  28.35596 -15.82382 -216.01228
[11,]   2.26127 -42.19531  24.85441  -4.83580 -11.14345 -22.23905   52.78550
[12,]  21.35998  -1.74570 -28.58254   0.21539 -12.92212  23.85480   -7.47867
           [,8]      [,9]      [,10]     [,11]     [,12]
 [1,] -16.41590   7.67981  -40.36410   2.26127  21.35998
 [2,] -68.27448 -35.95198  -12.06123 -42.19531  -1.74570
 [3,]  10.38023  10.92022  -11.27939  24.85441 -28.58254
 [4,]  -6.88061   1.74671   32.69116  -4.83580   0.21539
 [5,] -12.41336  -9.78614   28.35596 -11.14345 -12.92212
 [6,] -24.69055 -10.47324  -15.82382 -22.23905  23.85480
 [7,]  -5.57070  50.93222 -216.01228  52.78550  -7.47867
 [8,] 108.59463   1.26409    7.91760  23.11919  -4.70543
 [9,]   1.26409  40.74023  -45.29988  21.42544 -11.21420
[10,]   7.91760 -45.29988  266.87998 -48.62791  -5.05652
[11,]  23.11919  21.42544  -48.62791  62.83620 -24.54280
[12,]  -4.70543 -11.21420   -5.05652 -24.54280  61.58321
