           [,1]       [,2]       [,3]       [,4]      [,5]      [,6]        [,7]
 [1,] 104.65425   -1.62316 -24.779029 -19.759722   5.39566 -15.87306   25.851316
 [2,]  -1.62316  216.62647 -24.229842 -62.272051 104.20096 -37.30399   52.056162
 [3,] -24.77903  -24.22984  61.634294  -9.468107  12.48998 -38.51462    0.497953
 [4,] -19.75972  -62.27205  -9.468107  71.720907 -77.93764  20.88924  -29.769882
 [5,]   5.39566  104.20096  12.489980 -77.937640 134.58342 -42.14605   13.126582
 [6,] -15.87306  -37.30399 -38.514623  20.889242 -42.14605 125.12606    3.925817
 [7,]  25.85132   52.05616   0.497953 -29.769882  13.12658   3.92582  103.938504
 [8,] -27.69630  -41.63078  12.453775   0.174429   8.22550 -15.61591  -37.970437
 [9,]   4.46611  -43.41673   1.044405  23.905045 -42.24572 -11.10259    1.929386
[10,] -36.97589 -115.65212  24.318993  52.078889 -64.39872  -2.61001 -102.337593
[11,] -11.87392  -59.74428   1.463931  44.729215 -65.53046  -1.49494  -15.433687
[12,]  -4.52968  -27.41171  -6.815496   7.427106 -18.87621  22.40327   -7.766133
            [,8]      [,9]      [,10]     [,11]     [,12]
 [1,] -27.696300   4.46611  -36.97589 -11.87392  -4.52968
 [2,] -41.630783 -43.41673 -115.65212 -59.74428 -27.41171
 [3,]  12.453775   1.04440   24.31899   1.46393  -6.81550
 [4,]   0.174429  23.90505   52.07889  44.72921   7.42711
 [5,]   8.225502 -42.24572  -64.39872 -65.53046 -18.87621
 [6,] -15.615907 -11.10259   -2.61001  -1.49494  22.40327
 [7,] -37.970437   1.92939 -102.33759 -15.43369  -7.76613
 [8,]  92.494955  -5.02953    4.18434   1.73616   5.32979
 [9,]  -5.029526  55.56274    9.37457  35.71133  -3.94298
[10,]   4.184336   9.37457  200.60259  29.11916  15.97736
[11,]   1.736165  35.71133   29.11916  87.43708  -9.63212
[12,]   5.329787  -3.94298   15.97736  -9.63212  33.15669
