"","x_2018"
"1",0.8708
"2",0.9498
"3",0.7865
"4",0.8461
"5",0.6399
"6",0.88
"7",0.7938
"8",0.8953
"9",0.7469
"10",0.8957
"11",0.54
"12",0.6585
