            [,1]      [,2]      [,3]       [,4]       [,5]      [,6]      [,7]
 [1,] 153.894947 -75.50299 -41.64140  -0.926178   43.82669 -20.93598  27.97274
 [2,] -75.502989 201.76308   9.31061 -27.798946   11.91738 -54.54534 -49.00344
 [3,] -41.641403   9.31061  73.85113 -43.645561   -3.12464   4.69037 -19.07618
 [4,]  -0.926178 -27.79895 -43.64556 114.960674   50.13907 -15.59909  19.96110
 [5,]  43.826694  11.91738  -3.12464  50.139074  155.86789 -38.42678  17.73312
 [6,] -20.935977 -54.54534   4.69037 -15.599092  -38.42678 120.85463  -3.57277
 [7,]  27.972739 -49.00344 -19.07618  19.961102   17.73312  -3.57277  56.70917
 [8,] -68.821607 -20.28077  27.96319 -70.230322 -189.92929 -11.51515 -34.95541
 [9,]  37.301282 -60.17179   3.73600   5.234116   28.42473  12.15452  30.68207
[10,]  11.617655 -33.95401 -17.98161  25.310150   16.75572  21.32238   7.00933
[11,]  10.910329 -69.23916 -26.71129  37.194794   -8.98697  -8.06885  31.28091
[12,] -45.180074 116.04381  37.32577 -70.462804  -39.11422  -4.28406 -58.12452
           [,8]      [,9]     [,10]      [,11]      [,12]
 [1,]  -68.8216  37.30128  11.61765   10.91033  -45.18007
 [2,]  -20.2808 -60.17179 -33.95401  -69.23916  116.04381
 [3,]   27.9632   3.73600 -17.98161  -26.71129   37.32577
 [4,]  -70.2303   5.23412  25.31015   37.19479  -70.46280
 [5,] -189.9293  28.42473  16.75572   -8.98697  -39.11422
 [6,]  -11.5151  12.15452  21.32238   -8.06885   -4.28406
 [7,]  -34.9554  30.68207   7.00933   31.28091  -58.12452
 [8,]  336.5712 -52.96828 -29.62307   27.76964   29.71545
 [9,]  -52.9683  92.92055   1.23724   22.06524  -60.96124
[10,]  -29.6231   1.23724  43.97573   10.74578  -38.99060
[11,]   27.7696  22.06524  10.74578   95.09631 -100.10706
[12,]   29.7154 -60.96124 -38.99060 -100.10706  181.31383
