"","x_2021"
"1",0.8609
"2",0.9235
"3",0.7007
"4",0.8503
"5",0.6923
"6",0.8929
"7",0.8048
"8",0.8847
"9",0.6046
"10",0.5265
"11",0.8053
"12",0.7897
