"","Year","Human resources","Attractive research systems","Digitalisation","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support","Firm investments"
"387",2023,73.05,138.858,152.31,129.302,92.258,134.321,115.438,117.323,69.528,115.553,15.634,44.462
"388",2016,160.977,188.215,170.563,130.588,136.996,237.735,103.422,149.411,89.594,122.183,121.519,74.492
"389",2017,160.977,187.811,170.563,143.38,136.996,242.037,106.076,149.411,93.059,118.231,116.464,73.705
"390",2018,160.977,189.505,170.563,147.749,136.996,243.08,110.958,149.411,92.251,122.997,119.385,74.492
"391",2019,160.977,199.806,170.563,153.989,156.158,232.556,108.276,154.234,91.769,126.118,120.573,82.852
"392",2020,160.977,204.559,170.563,153.989,156.158,233.932,108.361,154.234,93.245,128.648,121.848,82.065
"393",2021,160.977,208.47,170.563,148.373,133.153,234.574,110.107,133.897,91.56,130.222,122.974,83.114
"394",2022,165.889,215.631,178.507,148.373,133.153,241.938,108.296,133.897,89.17,129.132,143.139,85.212
"395",2023,157.04,212.168,184.652,173.705,146.296,243.094,104.788,133.897,85.622,126.538,148.05,84.688
"396",2016,49.158,24.991,81.852,53.704,11.437,64.858,78.332,28.727,58.671,58.02,47.712,69.845
"397",2017,49.158,26.12,81.852,54.016,11.437,66.085,78.575,28.727,59.446,64.596,65.12,70.631
"398",2018,54.071,29.683,81.852,55.576,11.437,78.23,76.517,28.727,59.26,62.686,47.196,74.827
"399",2019,49.158,31.217,81.852,59.632,15.183,90.271,74.231,31.356,58.977,63.931,55.61,73.275
"400",2020,49.158,32.814,81.852,59.632,15.183,89.924,70.649,31.356,60.485,56.01,58.55,76.684
"401",2021,49.158,36.53,81.852,73.361,29.075,92.517,72.447,33.448,61.712,59.961,67.851,63.571
"402",2022,54.071,38.287,90.245,73.361,29.075,97.822,76.897,33.448,63.94,55.907,70.663,64.62
"403",2023,55.048,50.569,94.592,96.649,57.896,98.305,77.288,54.8,67.692,44.936,74.596,64.51
"404",2016,112.547,100.641,133.334,109.134,147.987,83.983,72.751,105.715,50.093,44.631,92.205,56.863
"405",2017,112.547,103.596,133.334,110.382,147.987,86.268,74.46,105.715,50.105,41.413,89.373,56.338
"406",2018,112.547,109.793,133.334,103.206,147.987,102.559,72.535,105.715,49.25,32.303,81.151,57.387
"407",2019,112.547,123.278,133.334,99.774,211.94,116.146,74.699,127.701,57.477,33.265,93.002,71.925
"408",2020,107.634,126.067,133.334,125.983,211.94,123.753,72.244,127.701,59.175,43.017,95.01,72.449
"409",2021,112.547,130.844,133.334,110.382,112.568,129.609,68.822,79.046,64.948,39.496,98.072,47.672
"410",2022,107.634,138.676,142.027,110.382,112.568,152.936,71.348,79.046,69.881,32.22,103.713,52.655
"411",2023,104.199,139.182,148.922,109.048,138.787,123.924,70.56,102.88,76.541,28.609,110.41,57.376
"412",2021,17.396,35.113,77.788,20.399,14.272,14.31,27.523,11.725,77.873,56.592,53.065,18.073
"413",2022,17.396,40.119,90.977,20.399,14.272,15.659,27.626,11.725,78.355,57.503,34.271,17.81
"414",2023,18.778,44.841,107.015,32.966,6.465,10.244,28.831,11.725,70.021,43.832,21.885,14.922
"415",2016,186.921,180.071,154.525,187.832,124.302,186.759,121.752,148.393,86.268,82.362,106.955,149.855
"416",2017,191.833,182.179,154.525,187.832,124.302,194.918,123.235,148.393,86.575,87.673,119.792,154.051
"417",2018,191.833,185.416,154.525,187.832,124.302,192.643,123.875,148.393,84.934,92.864,122.884,154.575
"418",2019,186.921,191.39,154.525,187.832,124.302,197.875,120.068,148.832,88.428,93.584,126.809,147.331
"419",2020,182.008,192.213,154.525,187.832,124.302,198.765,118.503,148.832,91.447,92.76,130.949,147.331
"420",2021,172.183,195.005,154.525,186.583,198.492,208.088,119.185,163.918,105.074,93.154,148.231,141.637
"421",2022,177.096,197.465,159.77,186.583,198.492,218.467,117.57,163.918,104.408,91.736,133.226,141.637
"422",2023,173.194,192.714,165.316,193.136,199.308,188.151,114.065,166.862,102.671,91.152,141.234,139.267
"423",2016,164.283,78.742,77.588,129.302,114.441,138.84,86.098,117.941,75.719,71.638,95.143,101.241
"424",2017,159.37,82.368,77.588,126.494,114.441,136.38,87.83,117.941,76.338,72.612,48.935,97.044
"425",2018,159.37,82.543,77.588,123.998,114.441,148.445,86.331,117.941,77.315,77.62,45.735,93.111
"426",2019,164.283,89.808,77.588,129.614,100.341,133.523,73.673,104.929,68.517,81.532,41.983,83.521
"427",2020,129.895,87.168,77.588,129.302,100.341,161.08,72.324,104.929,69.883,84.472,41.144,84.832
"428",2021,129.895,97.877,77.588,120.878,147.925,168.456,79.825,115.101,81.004,86.28,44.669,68.802
"429",2022,129.895,118.268,91.976,120.878,147.925,184.073,72.816,115.101,83.479,81.78,76.049,70.375
"430",2023,131.298,119.292,97.372,125.585,162.314,187.711,77.538,115.101,86.621,86.89,80.594,66.254
"431",2016,84.699,38.454,66.231,89.618,43.582,55.798,38.397,48.623,100.639,100.845,42.769,44.367
"432",2017,84.699,42.161,66.231,94.61,43.582,58.271,41.119,48.623,101.327,86.52,86.406,44.367
"433",2018,79.786,43.014,66.231,84.313,43.582,65.631,42.464,48.623,100.813,88.495,42.042,46.465
"434",2019,74.873,41.714,66.231,86.497,38.948,66.37,46.064,51.771,106.236,101.151,39.485,55.487
"435",2020,69.961,48.316,66.231,88.369,38.948,71.361,44.134,51.771,107.758,103.238,40.952,54.7
"436",2021,69.961,50.449,66.231,82.441,44.974,77.616,42.812,50.751,87.759,105.183,43.676,59.528
"437",2022,65.048,53.892,72.976,82.441,44.974,70.049,47.069,50.751,89.508,103.785,44.821,60.577
"438",2023,86.396,56.647,78.222,79.945,59.18,66.49,45.373,60.324,101.003,98.046,46.474,60.902
