"","Year","Human resources","Attractive research systems","Digitalisation","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support","Firm investments"
"142",2021,99.842,51.916,109.227,65.845,154.114,182.873,53.708,101.844,47.791,73.669,98.457,73.35
"143",2022,99.842,62.1,111.475,65.845,154.114,182.109,62.075,101.844,49.326,84.377,88.298,75.973
"144",2023,101.18,59.38,110.126,74.528,158.928,187.034,66.173,109.305,54.391,80.409,86.817,93.807
"145",2016,135.568,222.919,135.853,152.741,159.39,178.937,140.342,176.676,90.028,131.266,88.041,44.603
"146",2017,140.48,209.145,135.853,163.037,159.39,191.977,138.614,176.676,90.76,113.926,137.799,45.127
"147",2018,150.305,218.424,135.853,160.853,159.39,183.059,132.199,176.676,86.09,118.958,129.406,46.176
"148",2019,150.305,225.348,135.853,158.981,152.093,207.346,128.711,179.715,81.084,119.304,124.843,56.279
"149",2020,165.043,216.508,135.853,158.669,152.093,184.653,135.607,179.715,85.329,115.027,105.265,54.443
"150",2021,165.043,219.729,135.853,139.948,138.443,233.805,119.24,143.586,84.348,111.863,115.97,57.347
"151",2022,155.218,244.903,135.104,139.948,138.443,257.583,106.029,143.586,80.33,119.017,81.238,54.724
"152",2023,147.801,241.986,145.146,154.446,138.443,256.786,99.1,143.586,92.444,122.08,80.92,47.72
"153",2016,77.19,31.408,87.705,61.477,24.861,60.641,58.338,41.987,47.198,54.813,60.117,36.027
"154",2017,77.19,31.192,87.705,58.981,24.861,62.218,54.715,41.987,49.928,55.551,86.706,33.666
"155",2018,77.19,40.353,87.705,53.053,24.861,66.903,41.472,41.987,51.19,60.282,96.741,32.617
"156",2019,72.278,42.279,87.705,56.173,45.642,66.77,53.704,52.78,57.878,45.396,95.762,40.08
"157",2020,67.365,42.734,87.705,78.326,45.642,77.954,52.363,52.78,57.027,24.015,103.445,40.605
"158",2021,67.365,50.126,87.705,75.206,63.58,82.935,58.505,57.514,58.272,28.866,53.494,31.233
"159",2022,72.278,48.669,82.609,75.206,63.58,87.722,61.584,57.514,55.708,35.372,42.938,32.282
"160",2023,71.17,58.785,83.059,80.768,54.888,99.275,58.589,52.781,51.923,43.021,46.192,26.643
"161",2016,71.369,63.997,135.373,116.935,84.334,77.586,130.309,126.241,57.109,96.389,36.418,37.247
"162",2017,76.282,67.581,135.373,110.07,84.334,82.815,130.969,126.241,66.563,105.677,33.374,36.985
"163",2018,76.282,88.499,135.373,120.055,84.334,93.528,136.65,126.241,55.398,112.491,98.294,36.46
"164",2019,76.282,68.174,135.373,119.119,59.618,108.079,132.996,103.193,72.033,136.834,98.066,58.901
"165",2020,76.282,71.506,135.373,120.991,59.618,128.816,127.386,103.193,72.99,141.267,100.093,58.901
"166",2021,76.282,83.739,135.373,125.359,144.389,161.311,106.679,133.515,81.202,149.156,18.367,54.783
"167",2022,76.282,97.405,143.167,125.359,144.389,148.443,114.484,133.515,79.748,104.247,19.12,56.619
"168",2023,73.05,138.858,152.31,129.302,92.258,134.321,115.438,117.323,69.528,115.553,15.634,44.462
"169",2016,160.977,188.215,170.563,130.588,136.996,237.735,103.422,149.411,89.594,122.183,121.519,74.492
"170",2017,160.977,187.811,170.563,143.38,136.996,242.037,106.076,149.411,93.059,118.231,116.464,73.705
"171",2018,160.977,189.505,170.563,147.749,136.996,243.08,110.958,149.411,92.251,122.997,119.385,74.492
"172",2019,160.977,199.806,170.563,153.989,156.158,232.556,108.276,154.234,91.769,126.118,120.573,82.852
"173",2020,160.977,204.559,170.563,153.989,156.158,233.932,108.361,154.234,93.245,128.648,121.848,82.065
"174",2021,160.977,208.47,170.563,148.373,133.153,234.574,110.107,133.897,91.56,130.222,122.974,83.114
"175",2022,165.889,215.631,178.507,148.373,133.153,241.938,108.296,133.897,89.17,129.132,143.139,85.212
"176",2023,157.04,212.168,184.652,173.705,146.296,243.094,104.788,133.897,85.622,126.538,148.05,84.688
"177",2016,49.158,24.991,81.852,53.704,11.437,64.858,78.332,28.727,58.671,58.02,47.712,69.845
"178",2017,49.158,26.12,81.852,54.016,11.437,66.085,78.575,28.727,59.446,64.596,65.12,70.631
"179",2018,54.071,29.683,81.852,55.576,11.437,78.23,76.517,28.727,59.26,62.686,47.196,74.827
"180",2019,49.158,31.217,81.852,59.632,15.183,90.271,74.231,31.356,58.977,63.931,55.61,73.275
"181",2020,49.158,32.814,81.852,59.632,15.183,89.924,70.649,31.356,60.485,56.01,58.55,76.684
"182",2021,49.158,36.53,81.852,73.361,29.075,92.517,72.447,33.448,61.712,59.961,67.851,63.571
"183",2022,54.071,38.287,90.245,73.361,29.075,97.822,76.897,33.448,63.94,55.907,70.663,64.62
"184",2023,55.048,50.569,94.592,96.649,57.896,98.305,77.288,54.8,67.692,44.936,74.596,64.51
"185",2016,112.547,100.641,133.334,109.134,147.987,83.983,72.751,105.715,50.093,44.631,92.205,56.863
"186",2017,112.547,103.596,133.334,110.382,147.987,86.268,74.46,105.715,50.105,41.413,89.373,56.338
"187",2018,112.547,109.793,133.334,103.206,147.987,102.559,72.535,105.715,49.25,32.303,81.151,57.387
"188",2019,112.547,123.278,133.334,99.774,211.94,116.146,74.699,127.701,57.477,33.265,93.002,71.925
"189",2020,107.634,126.067,133.334,125.983,211.94,123.753,72.244,127.701,59.175,43.017,95.01,72.449
"190",2021,112.547,130.844,133.334,110.382,112.568,129.609,68.822,79.046,64.948,39.496,98.072,47.672
"191",2022,107.634,138.676,142.027,110.382,112.568,152.936,71.348,79.046,69.881,32.22,103.713,52.655
"192",2023,104.199,139.182,148.922,109.048,138.787,123.924,70.56,102.88,76.541,28.609,110.41,57.376
"193",2021,17.396,35.113,77.788,20.399,14.272,14.31,27.523,11.725,77.873,56.592,53.065,18.073
"194",2022,17.396,40.119,90.977,20.399,14.272,15.659,27.626,11.725,78.355,57.503,34.271,17.81
"195",2023,18.778,44.841,107.015,32.966,6.465,10.244,28.831,11.725,70.021,43.832,21.885,14.922
"196",2016,186.921,180.071,154.525,187.832,124.302,186.759,121.752,148.393,86.268,82.362,106.955,149.855
"197",2017,191.833,182.179,154.525,187.832,124.302,194.918,123.235,148.393,86.575,87.673,119.792,154.051
"198",2018,191.833,185.416,154.525,187.832,124.302,192.643,123.875,148.393,84.934,92.864,122.884,154.575
"199",2019,186.921,191.39,154.525,187.832,124.302,197.875,120.068,148.832,88.428,93.584,126.809,147.331
"200",2020,182.008,192.213,154.525,187.832,124.302,198.765,118.503,148.832,91.447,92.76,130.949,147.331
"201",2021,172.183,195.005,154.525,186.583,198.492,208.088,119.185,163.918,105.074,93.154,148.231,141.637
"202",2022,177.096,197.465,159.77,186.583,198.492,218.467,117.57,163.918,104.408,91.736,133.226,141.637
"203",2023,173.194,192.714,165.316,193.136,199.308,188.151,114.065,166.862,102.671,91.152,141.234,139.267
"204",2016,164.283,78.742,77.588,129.302,114.441,138.84,86.098,117.941,75.719,71.638,95.143,101.241
"205",2017,159.37,82.368,77.588,126.494,114.441,136.38,87.83,117.941,76.338,72.612,48.935,97.044
"206",2018,159.37,82.543,77.588,123.998,114.441,148.445,86.331,117.941,77.315,77.62,45.735,93.111
"207",2019,164.283,89.808,77.588,129.614,100.341,133.523,73.673,104.929,68.517,81.532,41.983,83.521
"208",2020,129.895,87.168,77.588,129.302,100.341,161.08,72.324,104.929,69.883,84.472,41.144,84.832
"209",2021,129.895,97.877,77.588,120.878,147.925,168.456,79.825,115.101,81.004,86.28,44.669,68.802
"210",2022,129.895,118.268,91.976,120.878,147.925,184.073,72.816,115.101,83.479,81.78,76.049,70.375
"211",2023,131.298,119.292,97.372,125.585,162.314,187.711,77.538,115.101,86.621,86.89,80.594,66.254
"212",2016,84.699,38.454,66.231,89.618,43.582,55.798,38.397,48.623,100.639,100.845,42.769,44.367
"213",2017,84.699,42.161,66.231,94.61,43.582,58.271,41.119,48.623,101.327,86.52,86.406,44.367
"214",2018,79.786,43.014,66.231,84.313,43.582,65.631,42.464,48.623,100.813,88.495,42.042,46.465
"215",2019,74.873,41.714,66.231,86.497,38.948,66.37,46.064,51.771,106.236,101.151,39.485,55.487
"216",2020,69.961,48.316,66.231,88.369,38.948,71.361,44.134,51.771,107.758,103.238,40.952,54.7
"217",2021,69.961,50.449,66.231,82.441,44.974,77.616,42.812,50.751,87.759,105.183,43.676,59.528
"218",2022,65.048,53.892,72.976,82.441,44.974,70.049,47.069,50.751,89.508,103.785,44.821,60.577
"219",2023,86.396,56.647,78.222,79.945,59.18,66.49,45.373,60.324,101.003,98.046,46.474,60.902
"220",2016,112.414,143.334,105.501,139.002,158.731,211.185,132.134,130.423,81.893,109.59,121.559,114.373
"221",2017,112.414,142.26,105.501,149.61,158.731,215.239,131.427,130.423,81.838,107.183,102.045,113.849
"222",2018,112.414,144.767,105.501,130.577,158.731,219.935,130.937,130.423,81.518,102.278,111.966,114.111
"223",2019,112.414,151.16,105.501,118.721,177.564,232.751,128.163,133.617,82.753,105.78,106.209,116.248
"224",2020,112.414,156.063,105.501,91.888,177.564,249.103,126.37,133.617,84.044,106.26,108.655,116.773
"225",2021,112.414,160.802,105.501,90.64,191.359,219.178,129.805,131.678,89.638,108.357,107.307,112.15
"226",2022,112.414,169.376,105.951,90.64,191.359,248.123,135.882,131.678,91.351,109.141,138.437,112.937
"227",2023,117.068,168.073,104.302,106.923,173.565,233.305,129.059,131.678,92.888,111.971,147.831,116.934
"228",2016,111.581,176.29,131.661,154.92,172.075,234.279,83.789,146.618,77.656,93.857,112.2,108.609
"229",2017,111.581,172.802,131.661,159.6,172.075,235.496,83.519,146.618,79.681,97.547,109.961,109.658
"230",2018,116.493,184.809,131.661,162.72,172.075,234.967,83.087,146.618,79.369,99.61,116.498,110.445
"231",2019,116.493,185.775,131.661,165.84,160.797,219.546,83.146,154.851,93.749,99.691,117.93,129.703
"232",2020,106.668,149.828,131.661,168.336,160.797,219.036,84.69,154.851,96.045,103.302,120.092,134.424
"233",2021,116.493,183.099,131.661,156.48,186.945,241.349,82.593,152.647,102.768,105.727,124.658,148.56
"234",2022,116.493,158.126,131.961,156.48,186.945,250.933,82.94,152.647,103.8,107.994,154.747,148.56
"235",2023,117.725,170.342,130.163,157.728,204.738,231.761,79.784,161.891,101.835,104.445,150.608,143.585
"236",2016,35.658,18.385,45.818,43.095,21.572,22.561,99.353,40.135,37.902,72.11,26.179,51.329
"237",2017,40.571,20.074,45.818,42.471,21.572,23.572,89.817,40.135,42.603,61.386,39.092,56.049
"238",2018,40.571,21.645,45.818,45.591,21.572,23.733,81.453,40.135,42.542,61.129,37.678,52.378
"239",2019,35.658,25.531,45.818,45.279,29.231,30.64,75.62,47.078,45.837,80.355,34.633,41.734
"240",2020,40.571,26.012,45.818,49.336,29.231,32.924,75.165,47.078,46.889,80.168,29.166,42.258
"241",2021,35.658,27.44,45.818,38.727,50.483,25.443,73.783,51.667,50.952,62.109,31.659,38.164
"242",2022,35.658,28.676,49.265,38.727,50.483,32.047,66.74,51.667,58.421,47.609,24.917,38.426
"243",2023,30.851,29.143,58.108,51.493,78.292,47.161,84.942,61.155,59.288,47.421,26.943,38.116
"244",2016,94.862,97.139,65.895,97.558,107.432,139.494,83.033,117.458,88.656,56.964,46.019,20.58
"245",2017,94.862,107.261,65.895,92.565,107.432,143.311,103.066,117.458,83.892,47.575,55.59,20.58
"246",2018,94.862,107.049,65.895,106.606,107.432,153.084,106.899,117.458,80.064,64.767,52.924,22.678
"247",2019,99.775,121.915,65.895,107.542,91.76,162.459,84.395,105.085,101.773,66.27,43.506,42.238
"248",2020,94.862,131.429,65.895,120.335,91.76,175.548,88.173,105.085,98.492,47.849,107.074,43.549
"249",2021,99.775,143.725,65.895,104.11,233.822,284.196,86.263,160.458,100.448,56.328,111.1,57.853
"250",2022,104.687,161.851,85.529,104.11,233.822,297.875,95.029,160.458,108.309,47.374,79.638,59.689
"251",2023,108.618,177.796,110.109,125.784,216.457,298.692,94.985,158.702,107.356,61.268,48.028,50.458
"252",2016,68.848,61.789,76.756,105.191,88.484,81.888,58.529,93.745,92.387,85.084,89.89,84.835
"253",2017,68.848,66.014,76.756,104.879,88.484,84.773,58.279,93.745,92.456,85.254,85.715,83.786
"254",2018,68.848,66.575,76.756,108.935,88.484,92.327,67.46,93.745,94.342,91.049,59.719,83.261
"255",2019,68.848,71.276,76.756,114.552,113.577,105.321,67.477,94.368,91.429,88.264,61.16,77.707
"256",2020,73.761,75.17,76.756,113.616,113.577,119.652,53.867,94.368,92.639,94.191,80.481,79.542
"257",2021,73.761,81.373,76.756,114.24,127.177,119.397,54.575,95.093,92.954,101.701,83.105,88.627
"258",2022,68.848,86.575,82.601,114.24,127.177,116.866,57.79,95.093,95.145,102.608,102.185,89.152
"259",2023,78.034,90.373,89.496,107.488,193.127,125.572,57.933,114.52,102.344,101.657,100.104,123.11
"260",2016,97.571,118.365,81.055,135.43,143.835,162.682,130.687,134.478,110.778,117.049,88.6,146.814
"261",2017,97.571,119.016,81.055,133.245,143.835,165.188,128.32,134.478,112.035,117.692,115.192,148.388
"262",2018,102.484,119.359,81.055,129.189,143.835,166.042,130.083,134.478,112.651,117.026,118.979,148.125
"263",2019,97.571,119.46,81.055,135.742,143.598,160.662,126.918,134.001,114.135,117.459,122.82,154.455
"264",2020,97.571,118.09,81.055,141.046,143.598,161.681,120.856,134.001,113.429,120.018,131.535,155.242
"265",2021,97.571,118.466,81.055,116.709,208.716,193.497,120.629,141.192,114.726,123.614,132.029,158.448
"266",2022,97.571,120.665,90.048,116.709,208.716,196.823,118.968,141.192,116.161,125.268,112.134,156.088
"267",2023,94.147,119.32,100.84,129.388,197.22,189.25,112.042,138.636,116.628,124.518,111.904,152.68
"268",2016,167.294,189.539,167.37,146.183,100.413,275.999,139.547,109.848,82.363,127.839,93.798,97.232
"269",2017,167.294,196.035,167.37,143.375,100.413,284.972,143.025,109.848,80.982,125.802,127.912,99.33
"270",2018,172.207,200.044,167.37,137.447,100.413,282.39,140.236,109.848,78.15,122.584,127.759,101.166
"271",2019,172.207,210.262,167.37,142.439,109.858,289.478,138.258,107.642,75.809,123.559,130.48,122.147
"272",2020,167.294,207.973,167.37,150.239,109.858,291.799,140.287,107.642,77.005,129.97,149.558,122.409
"273",2021,162.382,214.803,167.37,148.991,165.84,284.83,143.323,121.871,71.305,131.33,154.126,129.425
"274",2022,162.382,218.635,169.768,148.991,165.84,286.066,137.588,121.871,73.46,132.432,133.255,128.901
"275",2023,166.697,207.478,169.768,160.423,163.841,288.345,125.707,116.42,106.916,132.811,136.382,124.398
"276",2016,114.62,72.47,87.535,107.752,25.49,128.455,75.733,64.02,64.575,59.712,89.502,62.503
"277",2017,109.707,83.503,87.535,107.128,25.49,139.42,89.325,64.02,66.6,40.568,121.434,64.076
"278",2018,109.707,90.785,87.535,106.504,25.49,139.675,105.948,64.02,65.355,30.793,94.31,63.027
"279",2019,114.62,102.039,87.535,106.816,105.002,209.845,111.556,118.005,66.561,47.945,103.19,95.318
"280",2020,114.62,110.969,87.535,118.672,105.002,243.127,104.504,118.005,67.882,45.709,106.016,95.318
"281",2021,114.62,123.391,87.535,118.36,221.672,266.138,104.896,155.379,74.522,48.862,130.364,112.018
"282",2022,114.62,133.181,92.481,118.36,221.672,276.985,109.516,155.379,77.644,46.081,111.808,114.378
"283",2023,118.508,138.274,97.278,131.013,133.265,215.535,107.939,155.379,69.388,23.887,112.779,98.034
"284",2016,60.61,63.695,62.742,44.65,126.921,98.89,38.785,96.589,57.345,76.268,41.988,53.627
"285",2017,60.61,65.193,62.742,44.962,126.921,100.829,42.222,96.589,57.143,68.476,66.982,54.676
"286",2018,65.523,68.663,62.742,34.666,126.921,104.268,43.532,96.589,56.316,68.293,61.391,57.299
"287",2019,65.523,64.738,62.742,42.466,170.913,147.277,41.174,107.22,66.636,62.948,67.048,69.096
"288",2020,70.435,70.604,62.742,46.21,170.913,152.057,41.652,107.22,68.636,69.9,73.593,69.621
"289",2021,60.61,71.289,62.742,35.914,218.762,150.098,43.64,111.807,83.961,74.312,82.489,75.965
"290",2022,70.435,77.486,62.742,35.914,218.762,166.387,49.017,111.807,94.558,71.967,72.447,78.849
"291",2023,67.434,77.753,56.597,42.041,233.822,156.98,47.56,134.044,84.871,73.766,77.453,76.731
"292",2016,114.073,93.594,148.199,96.084,50.69,79.767,75.925,70.263,73.97,117.654,78.736,54.41
"293",2017,118.986,94.239,148.199,99.204,50.69,81.444,77.18,70.263,75.029,118.444,91.015,53.886
"294",2018,128.811,94.14,148.199,98.58,50.69,98.078,76.549,70.263,73.642,115.311,89.865,53.886
"295",2019,138.636,93.823,148.199,94.524,54.188,98.218,73.371,72.451,80.004,113.924,90.403,56.578
"296",2020,153.374,97.39,148.199,96.084,54.188,104.676,72.249,72.451,80.212,109.275,90.226,57.627
"297",2021,143.549,100.123,148.199,91.092,49.541,122.694,71.897,58.985,73.768,111.96,96.442,66.706
"298",2022,114.073,104.241,160.789,91.092,49.541,127.231,73.247,58.985,85.204,105.134,93.182,68.804
"299",2023,120,105.175,169.032,96.482,70.107,117.637,73.565,64.459,96.818,103.14,98.854,66.338
"300",2016,100,100,100,100,100,100,100,100,100,100,100,100
"301",2017,100,100.744,100,101.248,100,100.962,100.316,100,100.505,99.775,107.152,100.525
"302",2018,100,101.454,100,100,100,107.539,100.66,100,100.387,99.343,106.335,101.049
"303",2019,100,102.986,100,103.12,113.661,111.303,98.029,101.87,99.332,99.66,107.621,112.035
"304",2020,100,104.744,100,107.488,113.661,121.11,95.4,101.87,99.816,100.152,110.616,112.559
"305",2021,95.087,108.727,100,96.88,140.392,140.682,95.147,103.805,98.791,102.453,114.155,111.373
"306",2022,95.087,109.672,108.693,96.88,140.392,146.445,95.147,103.805,95.182,103.302,119.537,112.159
"307",2023,94.362,109.466,116.637,107.063,139.794,133.39,91.823,107.933,99.253,102.707,121.863,108.776
"308",2016,159.517,135.979,148.531,203.12,148.034,219.832,122.116,126.29,83.223,84.982,99.346,112.232
"309",2017,159.517,142.902,148.531,193.448,148.034,223.036,119.413,126.29,82.419,81.313,123.702,106.462
"310",2018,164.43,144.556,148.531,203.432,148.034,218.43,117.583,126.29,83.881,79.777,120.947,103.315
"311",2019,159.517,152.151,148.531,198.44,196.326,247.211,116.169,146.158,87.178,78.838,128.221,117.963
"312",2020,154.605,157.405,148.531,200.624,196.326,256.098,115.53,146.158,88.44,78.569,141.048,118.75
"313",2021,154.605,161.595,148.531,204.056,177.39,285.35,122.586,141.939,96.816,80.494,154.828,114.907
"314",2022,149.692,172.083,169.664,204.056,177.39,298.688,124.258,141.939,99.188,81.451,120.287,117.792
"315",2023,148.288,171.463,184.502,204.056,206.143,291.578,114.392,148.909,115.555,80.404,126.289,118.714
"316",2016,127.383,137.034,131.029,82.527,137.687,121.44,84.674,124.113,101.871,112.265,150.406,103.436
"317",2017,122.471,134.903,131.029,82.527,137.687,122.485,84.279,124.113,101.444,116.266,132.497,103.174
"318",2018,127.383,134.491,131.029,82.527,137.687,132.435,84.815,124.113,101.435,115.706,131.462,103.436
"319",2019,122.471,134.617,131.029,82.527,144.528,138.554,83.732,124.113,87.86,112.248,127.892,103.331
"320",2020,127.383,131.917,131.029,82.527,144.528,145.161,79.812,124.113,89.004,113.24,129.028,103.331
"321",2021,117.558,128.606,131.029,82.527,146.611,155.108,77.587,114.964,85.382,115.92,131.298,100.32
"322",2022,117.558,128.921,131.029,82.527,146.611,166.541,77.549,114.964,86.354,121.613,157.388,102.418
"323",2023,119.193,128.152,131.029,79.009,146.112,161.245,74.004,118.808,81.123,121.484,161.736,97.591
"324",2016,53.704,26.353,59.533,96.649,89.896,75.623,32.808,61.919,33.992,77.966,91.148,60.801
"325",2017,58.617,29.758,59.533,88.224,89.896,78.957,31.721,61.919,35.146,78.859,58.716,62.112
"326",2018,58.617,33.871,59.533,91.968,89.896,85.017,33.47,61.919,35.41,71.748,51.794,61.325
"327",2019,48.792,47.09,59.533,93.528,114.503,111.057,30.431,74.199,42.067,70.491,48.012,65.878
"328",2020,53.704,47.162,59.533,91.344,114.503,126.649,32.802,74.199,43.899,67.479,54.149,67.189
"329",2021,48.792,53.914,59.533,91.032,181.476,156.296,33.436,83.04,51.21,67.957,85.348,58.322
